Price,Date,Adj Close,Close,High,Low,Open,Volume
168,2020-08-11,135.08538818359375,142.8699951171875,143.52000427246094,140.2100067138672,142.16000366210938,1458900
169,2020-08-12,137.10877990722656,145.00999450683594,146.33999633789062,142.39999389648438,142.47000122070312,948000
170,2020-08-13,138.0070343017578,145.9600067138672,146.5,142.75,143.8000030517578,716100
171,2020-08-14,137.44918823242188,145.3699951171875,145.60000610351562,143.8300018310547,144.88999938964844,704500
172,2020-08-17,139.33078002929688,147.36000061035156,147.39999389648438,145.77000427246094,145.77000427246094,981900
173,2020-08-18,141.63783264160156,149.8000030517578,149.97999572753906,147.0800018310547,147.5800018310547,1377600
174,2020-08-19,142.2618408203125,150.4600067138672,151.49000549316406,149.52999877929688,150.0,1288400
175,2020-08-20,143.3491973876953,151.61000061035156,151.72000122070312,148.44000244140625,148.67999267578125,1069800
176,2020-08-21,143.642333984375,151.9199981689453,152.0399932861328,150.3000030517578,151.14999389648438,794200
177,2020-08-24,145.5806121826172,153.97000122070312,153.99000549316406,151.47999572753906,151.47999572753906,905800
178,2020-08-25,146.34645080566406,154.77999877929688,155.30999755859375,153.9199981689453,154.44000244140625,654300
179,2020-08-26,144.97547912597656,153.3300018310547,155.3000030517578,152.66000366210938,155.3000030517578,835500
180,2020-08-27,143.5382843017578,151.80999755859375,154.35000610351562,151.35000610351562,154.25999450683594,1418700
181,2020-08-28,145.21185302734375,153.5800018310547,153.94000244140625,151.5500030517578,151.69000244140625,759500
182,2020-08-31,146.3180694580078,154.75,155.25,152.3300018310547,153.0399932861328,1411700
183,2020-09-01,145.3915252685547,153.77000427246094,154.2899932861328,152.6699981689453,154.27999877929688,964100
184,2020-09-02,148.53062438964844,157.08999633789062,157.97000122070312,153.52999877929688,154.0,902800
185,2020-09-03,145.15509033203125,153.52000427246094,157.22000122070312,152.10000610351562,156.50999450683594,1015400
186,2020-09-04,144.7012939453125,153.0399932861328,155.4600067138672,151.24000549316406,154.0399932861328,1361600
187,2020-09-08,144.18125915527344,152.49000549316406,154.0,150.32000732421875,151.14999389648438,1080200
188,2020-09-09,145.20237731933594,153.57000732421875,155.3699951171875,152.72999572753906,154.0800018310547,685500
189,2020-09-10,142.1483917236328,150.33999633789062,154.97999572753906,150.0500030517578,153.4600067138672,941300
190,2020-09-11,145.4766082763672,153.86000061035156,154.3000030517578,151.60000610351562,152.02999877929688,1232900
191,2020-09-14,148.1160888671875,156.0,157.0800018310547,153.82000732421875,153.82000732421875,1574900
192,2020-09-15,148.8756561279297,156.8000030517578,157.77000427246094,156.39999389648438,156.80999755859375,557600
193,2020-09-16,149.1510009765625,157.08999633789062,158.99000549316406,157.02999877929688,157.6999969482422,896600
194,2020-09-17,150.1859130859375,158.17999267578125,158.4499969482422,153.5399932861328,154.63999938964844,1382500
195,2020-09-18,149.35984802246094,157.30999755859375,158.30999755859375,155.72999572753906,157.02000427246094,1483000
196,2020-09-21,144.85948181152344,152.57000732421875,155.0399932861328,151.3300018310547,155.0399932861328,1382800
197,2020-09-22,149.32192993164062,157.27000427246094,157.38999938964844,152.38999938964844,153.1699981689453,893100
198,2020-09-23,144.50811767578125,152.1999969482422,157.88999938964844,152.11000061035156,157.13999938964844,1065800
199,2020-09-24,144.02392578125,151.69000244140625,152.8699951171875,149.80999755859375,151.64999389648438,1041400
200,2020-09-25,146.21719360351562,154.0,154.5800018310547,150.14999389648438,150.6699981689453,624000
201,2020-09-28,148.71426391601562,156.6300048828125,158.38999938964844,155.25,155.86000061035156,1163300
202,2020-09-29,149.68270874023438,157.64999389648438,158.9600067138672,157.25999450683594,157.27999877929688,692400
203,2020-09-30,148.8851776123047,156.80999755859375,158.0399932861328,156.07000732421875,157.7100067138672,813800
204,2020-10-01,148.86618041992188,156.7899932861328,158.85000610351562,155.33999633789062,158.0,715500
205,2020-10-02,148.9801025390625,156.91000366210938,157.5800018310547,153.6999969482422,153.6999969482422,592800
206,2020-10-05,149.54977416992188,157.50999450683594,158.64999389648438,156.58999633789062,158.0,721400
207,2020-10-06,149.027587890625,156.9600067138672,159.24000549316406,156.61000061035156,158.27000427246094,772300
208,2020-10-07,152.208251953125,160.30999755859375,160.50999450683594,157.5399932861328,158.4600067138672,833100
209,2020-10-08,154.5439453125,162.77000427246094,163.7100067138672,161.67999267578125,161.67999267578125,682900
210,2020-10-09,158.35128784179688,166.77999877929688,167.1699981689453,164.0,164.38999938964844,1274700
211,2020-10-12,159.82296752929688,168.3300018310547,168.83999633789062,166.00999450683594,167.52999877929688,653200
212,2020-10-13,157.83860778808594,166.24000549316406,169.67999267578125,165.57000732421875,167.86000061035156,954100
213,2020-10-14,158.48422241210938,166.9199981689453,168.7100067138672,166.25999450683594,167.38999938964844,436300
214,2020-10-15,162.91819763183594,171.58999633789062,174.94000244140625,165.88999938964844,165.89999389648438,1811200
215,2020-10-16,162.27259826660156,170.91000366210938,172.82000732421875,169.7899932861328,171.4199981689453,1126400
216,2020-10-19,161.56048583984375,170.16000366210938,173.36000061035156,169.7100067138672,171.4499969482422,728500
217,2020-10-20,160.36412048339844,168.89999389648438,171.60000610351562,168.7899932861328,170.14999389648438,893600
218,2020-10-21,161.87379455566406,170.49000549316406,171.80999755859375,169.4499969482422,170.44000244140625,530000
219,2020-10-22,160.5160675048828,169.05999755859375,171.47999572753906,168.85000610351562,170.8800048828125,727800
220,2020-10-23,165.94700622558594,174.77999877929688,176.9199981689453,171.7100067138672,173.17999267578125,1030300
221,2020-10-26,163.5923309326172,172.3000030517578,173.02999877929688,169.4199981689453,172.47999572753906,845400
222,2020-10-27,163.64926147460938,172.36000061035156,175.24000549316406,171.9199981689453,172.0399932861328,854600
223,2020-10-28,156.17706298828125,164.49000549316406,170.4199981689453,164.35000610351562,169.13999938964844,1116900
224,2020-10-29,154.65786743164062,162.88999938964844,165.38999938964844,160.88999938964844,163.89999389648438,1145500
225,2020-10-30,150.07199096679688,158.05999755859375,161.82000732421875,156.3000030517578,160.5,1093300
226,2020-11-02,155.2085723876953,163.47000122070312,164.77000427246094,159.8800048828125,160.0,1089800
227,2020-11-03,157.6107177734375,166.0,169.27999877929688,165.41000366210938,165.66000366210938,968100
228,2020-11-04,152.22727966308594,160.3300018310547,166.3800048828125,160.19000244140625,166.22999572753906,1408200
229,2020-11-05,152.7209930419922,160.85000610351562,165.57000732421875,160.52000427246094,163.1300048828125,1098200
230,2020-11-06,156.16751098632812,164.47999572753906,165.7899932861328,161.1999969482422,162.27000427246094,992500
231,2020-11-09,161.65545654296875,170.25999450683594,175.7100067138672,169.9199981689453,171.94000244140625,1275400
232,2020-11-10,158.3702850341797,166.8000030517578,170.66000366210938,165.9600067138672,170.07000732421875,979800
233,2020-11-11,161.15219116210938,169.72999572753906,170.0,167.24000549316406,169.0399932861328,533600
234,2020-11-12,159.0634002685547,167.52999877929688,169.72999572753906,166.5,168.5800018310547,411100
235,2020-11-13,161.88328552246094,170.5,172.4199981689453,168.6999969482422,169.32000732421875,493100
236,2020-11-16,165.1114501953125,173.89999389648438,173.9199981689453,171.25,172.36000061035156,575600
237,2020-11-17,161.00027465820312,169.57000732421875,172.92999267578125,169.42999267578125,172.0800018310547,769900
238,2020-11-18,158.98739624023438,167.4499969482422,170.19000244140625,167.27999877929688,169.9499969482422,542800
239,2020-11-19,160.6110076904297,169.16000366210938,169.27999877929688,165.38999938964844,166.61000061035156,400800
240,2020-11-20,158.8450164794922,167.3000030517578,170.5800018310547,166.0,169.35000610351562,1254900
241,2020-11-23,160.81991577148438,169.3800048828125,169.80999755859375,166.17999267578125,168.08999633789062,654900
242,2020-11-24,163.18405151367188,171.8699951171875,172.5800018310547,170.47000122070312,170.9600067138672,858300
243,2020-11-25,163.430908203125,172.1300048828125,175.41000366210938,171.3300018310547,172.0,1198300
244,2020-11-27,164.69371032714844,173.4600067138672,174.72999572753906,172.3800048828125,173.6300048828125,287600
245,2020-11-30,162.86122131347656,171.52999877929688,174.6300048828125,170.27000427246094,172.60000610351562,1513700
246,2020-12-01,161.88328552246094,170.5,173.44000244140625,169.77999877929688,172.77999877929688,1202100
247,2020-12-02,162.41497802734375,171.05999755859375,171.75,169.02000427246094,170.6300048828125,721700
248,2020-12-03,162.47193908691406,171.1199951171875,172.5500030517578,168.60000610351562,170.8300018310547,776100
249,2020-12-04,161.78834533691406,170.39999389648438,172.44000244140625,169.5,171.58999633789062,810300
250,2020-12-07,161.8453369140625,170.4600067138672,171.9600067138672,169.9199981689453,170.4499969482422,457500
251,2020-12-08,163.7632293701172,172.47999572753906,172.86000061035156,168.33999633789062,169.32000732421875,1262500
252,2020-12-09,164.16195678710938,172.89999389648438,175.1999969482422,172.08999633789062,173.44000244140625,566700
253,2020-12-10,163.174560546875,171.86000061035156,174.2899932861328,170.64999389648438,173.05999755859375,846500
254,2020-12-11,159.88941955566406,168.39999389648438,171.30999755859375,166.92999267578125,170.5399932861328,2205800
255,2020-12-14,158.20175170898438,165.9199981689453,169.80999755859375,165.77000427246094,168.6999969482422,1903500
256,2020-12-15,160.21360778808594,168.02999877929688,168.8699951171875,166.3000030517578,167.02000427246094,1604000
257,2020-12-16,159.15524291992188,166.9199981689453,168.83999633789062,164.77000427246094,168.0800018310547,1559300
258,2020-12-17,161.7582550048828,169.64999389648438,170.38999938964844,166.86000061035156,167.6300048828125,1322700
259,2020-12-18,162.3398895263672,170.25999450683594,171.02999877929688,168.7100067138672,169.14999389648438,1989500
260,2020-12-21,157.53433227539062,165.22000122070312,168.36000061035156,163.16000366210938,167.52999877929688,954200
261,2020-12-22,159.66055297851562,167.4499969482422,167.8800048828125,164.77999877929688,165.05999755859375,717900
262,2020-12-23,160.76663208007812,168.61000061035156,170.33999633789062,167.9199981689453,168.0500030517578,633000
263,2020-12-24,160.63314819335938,168.47000122070312,169.19000244140625,167.3699951171875,169.0,239000
264,2020-12-28,161.5294189453125,169.41000366210938,170.44000244140625,167.8300018310547,169.9199981689453,615200
265,2020-12-29,159.17430114746094,166.94000244140625,170.6999969482422,166.3800048828125,170.5399932861328,461900
266,2020-12-30,159.2124481201172,166.97999572753906,168.86000061035156,166.88999938964844,167.50999450683594,561300
267,2020-12-31,162.1492156982422,170.05999755859375,170.1699981689453,166.50999450683594,166.67999267578125,485400
